 lo;la;aId;aCIId;t;cId 
 10.6592888;59.9294335;213847;213852;Hasselkroken Kanvas-barnehage;56418 
 10.9036218;59.9488309;210284;210289;Haugen barnehage;55909 
 10.7874563;59.9619362;211915;211920;Haugensjordet barnehage;56142 
 10.9143717;59.9516282;213483;213488;Haugenstua barnehage;56366 
 10.9207992;59.9541650;213539;213544;Haugenstua skoles barnehage;56374 
 10.8580460;59.9218262;210165;210170;Haugerud sentrum barnehage;55892 
 10.8594105;59.9225165;210403;210408;Haugerud skoles barnehage;55926 
 10.8505682;59.9191811;210445;210450;Haugerudhagan estetiske barnehage;55932 
 10.8120014;59.8413265;213588;213593;Hauketo barnehage;56381 
 10.7522416;59.9626039;212272;212277;Havnabakken (Tommelise) familiebarnehage;56193 
 10.7522416;59.9626039;212104;212109;Havnabakken barnehage;56169 
 10.8316763;59.8765323;214836;214841;Havnehagan friluftsbarnehage;56554 
 10.8792447;59.9318240;210214;210219;Havnehagen barnehage;55899 
 10.7379463;59.9356545;213147;213152;Heftyes barnehage;56318 
 10.7144225;59.9237751;210921;210926;Hegdehaugen barnehage;56000 
 10.7760262;59.9154347;211166;211171;Heibergløkka barnehage;56035 
 10.7093436;59.9473507;214596;214601;Heimvang barnehage;56525 
 10.6996339;59.9541174;214141;214146;Helenes barnehage;56460 
 10.8556612;59.9158260;210431;210436;Hellerud barnehage;55930 
 10.8598864;59.9108071;210466;210471;Hellerudtoppen barnehage;55935 
 10.7675155;59.9153322;270606;270605;Herslebs familiebarnehage;70546 
 10.8134973;59.9384897;220512;220517;Hestehagen familiebarnehage;58521 
 10.7217169;59.9249925;210928;210933;Hjelmsgate barnehage;56001 
 10.6724865;59.9262698;213854;213859;Hoff terrasse barnehage;56419 
 10.6818240;59.9270620;213861;213866;Hoffsgrenda borettslagsbarnehage;56420 
 10.7818431;59.9115121;211327;211332;Hola barnehage;56058 
 10.6852625;59.9444215;214148;214153;Holmen barnehage;56461 
 10.8011057;59.8266128;213791;213796;Holmsåsen FUS barnehage as;56410 
 10.8548497;59.8848980;214843;214848;Holtet barnehage;56555 
 10.7212696;59.9547050;212468;212473;Hompetitten Kanvasbarnehage;56221 
 10.6511733;59.9501434;214155;214160;Hov barnehage;56462 
 10.7982227;59.9222862;211782;211787;Hovin barnehage;56123 
 10.8461782;59.9455984;210564;210569;Hubroveien korttidsbarnehage;55949 
 10.8696649;59.9632891;211523;211528;Huken naturbarnehage;56086 
 10.6388407;59.9254742;218359;218364;Hullebergmyra barnehage;58051 
 10.8966375;59.9702096;211509;211514;Humlebakken barnehage;56084 
 10.6908660;59.9629482;214337;214342;Humlen Montessori barnehage;56488 
 10.7809124;59.9098189;211173;211178;Hurdalsgata barnehage;56036 
 10.6591160;59.9442263;214162;214167;Huseby barnehage;56463 
 10.6649525;59.9426575;214344;214349;Husebygrenda barnehage;56489 
 10.8100741;59.9004208;214850;214855;Husmannsplassen barnehage;56556 
 10.7072048;59.9398243;214351;214356;Hvitveisen barnehage;56490 
 10.8125319;59.9000120;214857;214862;Høyenhall barnehage;56557 
 10.7767626;59.9099285;211180;211185;Håkonsgate barnehage;56037 
 10.6559579;59.9221196;214078;214083;Ingvilds familiebarnehage;56451 
 10.8026088;59.9173460;211187;211192;Innspurten barnehage;56038 
 10.7828046;59.9069033;211341;211346;Internasjonal kulturbarnehage Enebakkveien;56060 
 10.7781454;59.9081922;211334;211339;Internasjonal kulturbarnehage Åkeberg;56059 
 10.6570308;59.9522613;214204;214209;Jarbakken barnehage (tidligere Røa Senter barnehage);56469 
 10.6736775;59.9538069;214603;214608;Jeppes familiebarnehage (Holmenkollveien);56526 
 10.8888361;59.9350908;210473;210478;Jeriko private barnehage;55936 
 10.8285477;59.8520038;213721;213726;Jettegryta barnehage;56400 
 10.7853606;59.9089094;211194;211199;Jordal barnehage;56039 
 10.7350698;59.9367733;213294;213299;Jutul Kanvas-barnehage;56339 
 10.7845928;59.9128410;211201;211206;Kampen barnehage;56040 
 10.7815354;59.9115382;211278;211283;Kampen kunstbarnehage;56051 
 10.7917609;59.9311522;217712;217717;Kanonen barnehage;57907 
 10.8141551;59.8489576;213707;213712;Kantarellen barnehage;56398 
 10.8442891;59.9487258;210571;210576;Kanutten barnehage;55950 
 10.7851243;59.9124624;211348;211353;Kardemomme barnehage;56061 
 10.9218886;59.9671633;213406;213411;Karen Aasumb barnehage;56355 
 10.9238781;59.9353978;210144;210149;Karihaugen barnehage;55889 
 10.8019830;59.8782584;218961;218966;Karlsrud familiebarnehage;58214 
 10.8040236;59.8796632;212692;212697;Karlsrud åpen barnehage;56253 
 10.8520404;59.9201536;210172;210177;Karlstua barnehage;55893 
 10.8658050;59.9227984;210179;210184;Kastanjen barnehage;55894 
 10.8017454;59.8671104;212706;212711;Kastellterrassen Kanvas-barnehage;56255 
 10.7407924;59.9213759;213217;213222;Katta barnehage;56328 
 10.6587448;59.9530932;214358;214363;Kattugla Steinerbarnehage;56491 
 10.6717308;59.9398861;214050;214055;Keekaboo familiebarnehage;56447 
 10.7850216;59.9231411;211677;211682;Keyserløkka barnehage;56108 
 10.7542774;59.9152974;218005;218010;KIA barnehage;57933 
 10.8202905;59.9487649;210578;210583;Kilden barnehage;55951 
 10.7277468;59.9360324;213154;213159;Kirsebærjordet barnehage;56319 
 10.7851098;59.9654398;211922;211927;Kjelsås skole barnehage;56143 
 10.6436887;59.9264800;218489;218494;Kjosjordet barnehage;58067 
 10.6852137;59.9417673;214575;214580;Klatremus familiebarnehage avd. Bamsebo;56522 
 10.6848485;59.9423361;214582;214587;Klatremus familiebarnehage avd. Knerten;56523 
 10.6860686;59.9429103;219266;219271;Klatremus familiebarnehage avd. Revehiet;58248 
 10.8888361;59.9350908;210480;210485;Kløfterhagen private barnehage;55937 
 10.7479430;59.9501287;255922;255927;Kløverveien Barnepark;66550 
