 lo;la;Name 
 10.7874563;59.9619362;Haugensjordet barnehage;56142 
 10.9143717;59.9516282;Haugenstua barnehage;56366 
 10.9207992;59.9541650;Haugenstua skoles barnehage;56374 
 10.8580460;59.9218262;Haugerud sentrum barnehage;55892 
 10.8594105;59.9225165;Haugerud skoles barnehage;55926 
 10.8505682;59.9191811;Haugerudhagan estetiske barnehage;55932 
 10.8120014;59.8413265;Hauketo barnehage;56381 
 10.7522416;59.9626039;Havnabakken (Tommelise) familiebarnehage;56193 
 10.7522416;59.9626039;Havnabakken barnehage;56169 
 10.8316763;59.8765323;Havnehagan friluftsbarnehage;56554 
 10.8792447;59.9318240;Havnehagen barnehage;55899 
 10.7379463;59.9356545;Heftyes barnehage;56318 
 10.7144225;59.9237751;Hegdehaugen barnehage;56000 
 10.7760262;59.9154347;Heibergløkka barnehage;56035 
 10.7093436;59.9473507;Heimvang barnehage;56525 
 10.6996339;59.9541174;Helenes barnehage;56460 
 10.8556612;59.9158260;Hellerud barnehage;55930 
 10.8598864;59.9108071;Hellerudtoppen barnehage;55935 
 10.7675155;59.9153322;Herslebs familiebarnehage;70546 
 10.8134973;59.9384897;Hestehagen familiebarnehage;58521 
 10.7217169;59.9249925;Hjelmsgate barnehage;56001 
 10.6724865;59.9262698;Hoff terrasse barnehage;56419 
 10.6818240;59.9270620;Hoffsgrenda borettslagsbarnehage;56420 
 10.7818431;59.9115121;Hola barnehage;56058 
 10.6852625;59.9444215;Holmen barnehage;56461 
 10.8011057;59.8266128;Holmsåsen FUS barnehage as;56410 
 10.8548497;59.8848980;Holtet barnehage;56555 
 10.7212696;59.9547050;Hompetitten Kanvasbarnehage;56221 
 10.6511733;59.9501434;Hov barnehage;56462 
 10.7982227;59.9222862;Hovin barnehage;56123 
 10.8461782;59.9455984;Hubroveien korttidsbarnehage;55949 
 10.8696649;59.9632891;Huken naturbarnehage;56086 
 10.6388407;59.9254742;Hullebergmyra barnehage;58051 
 10.8966375;59.9702096;Humlebakken barnehage;56084 
 10.6908660;59.9629482;Humlen Montessori barnehage;56488 
 10.7809124;59.9098189;Hurdalsgata barnehage;56036 
 10.6591160;59.9442263;Huseby barnehage;56463 
 10.6649525;59.9426575;Husebygrenda barnehage;56489 
 10.8100741;59.9004208;Husmannsplassen barnehage;56556 
 10.7072048;59.9398243;Hvitveisen barnehage;56490 
 10.8125319;59.9000120;Høyenhall barnehage;56557 
 10.7767626;59.9099285;Håkonsgate barnehage;56037 
 10.6559579;59.9221196;Ingvilds familiebarnehage;56451 
 10.8026088;59.9173460;Innspurten barnehage;56038 
 10.7828046;59.9069033;Internasjonal kulturbarnehage Enebakkveien;56060 
 10.7781454;59.9081922;Internasjonal kulturbarnehage Åkeberg;56059 
 10.6570308;59.9522613;Jarbakken barnehage (tidligere Røa Senter barnehage);56469 
 10.6736775;59.9538069;Jeppes familiebarnehage (Holmenkollveien);56526 
 10.8888361;59.9350908;Jeriko private barnehage;55936 
 10.8285477;59.8520038;Jettegryta barnehage;56400 
 10.7853606;59.9089094;Jordal barnehage;56039 
 10.7350698;59.9367733;Jutul Kanvas-barnehage;56339 
 10.7845928;59.9128410;Kampen barnehage;56040 
 10.7815354;59.9115382;Kampen kunstbarnehage;56051 
 10.7917609;59.9311522;Kanonen barnehage;57907 
 10.8141551;59.8489576;Kantarellen barnehage;56398 
 10.8442891;59.9487258;Kanutten barnehage;55950 
 10.7851243;59.9124624;Kardemomme barnehage;56061 
 10.9218886;59.9671633;Karen Aasumb barnehage;56355 
 10.9238781;59.9353978;Karihaugen barnehage;55889 
 10.8019830;59.8782584;Karlsrud familiebarnehage;58214 
 10.8040236;59.8796632;Karlsrud åpen barnehage;56253 
 10.8520404;59.9201536;Karlstua barnehage;55893 
 10.8658050;59.9227984;Kastanjen barnehage;55894 
 10.8017454;59.8671104;Kastellterrassen Kanvas-barnehage;56255 
 10.7407924;59.9213759;Katta barnehage;56328 
 10.6587448;59.9530932;Kattugla Steinerbarnehage;56491 
 10.6717308;59.9398861;Keekaboo familiebarnehage;56447 
 10.7850216;59.9231411;Keyserløkka barnehage;56108 
 10.7542774;59.9152974;KIA barnehage;57933 
 10.8202905;59.9487649;Kilden barnehage;55951 
 10.7277468;59.9360324;Kirsebærjordet barnehage;56319 
 10.7851098;59.9654398;Kjelsås skole barnehage;56143 
 10.6436887;59.9264800;Kjosjordet barnehage;58067 
 10.6852137;59.9417673;Klatremus familiebarnehage avd. Bamsebo;56522 
 10.6848485;59.9423361;Klatremus familiebarnehage avd. Knerten;56523 
 10.6860686;59.9429103;Klatremus familiebarnehage avd. Revehiet;58248 
 10.8888361;59.9350908;Kløfterhagen private barnehage;55937 
 10.7479430;59.9501287;Kløverveien Barnepark;66550 
 10.8061930;59.8765045;Knausen barnehage;57474 
 10.6546760;59.9246580;Knerten barnehage;56421 
 10.8426717;59.8928666;Knærten familiebarnehage avdeling 1;58459 
 10.8267018;59.9016220;Knærten familiebarnehage avdeling 2;58476 
 10.8748767;59.9293496;Knøttene familiebarnehage;55941 
 10.8297690;59.9448258;Kolåsbakken barnehage;55952 
 10.6763807;59.9050016;Kongeskogen barnehage;56002 
 10.6767078;59.9598502;Kongeørnen barnehage;71603 
 10.7396892;59.9605082;Kongla familiebarnehage;56194 
 10.7781394;59.9286986;Kongsberggata barnehage;56285 
 10.7739280;59.8856412;Kongsveien Barnehage A/S;56256 
 10.7569613;59.9583771;Korsvolltoppen barnehage / Korsvolltoppen friluftsbarnehage;56144 
 10.6606223;59.9536922;Kragskogen barnehage SA;56492 
 10.8479843;59.8872980;Kringkollen familiebarnehage;56579 
 10.7762238;59.9209169;Kulturparken barnehage;57908 
 10.8903954;59.9420265;Kurland barnehage;55904 
 10.6337854;59.9289036;Kvernkallen barnehage;58074 
 10.7886825;59.9030454;Kværnerbyen FUS barnehage;56062 
 10.7923872;59.9031693;Kværnerdalen barnehage;56041 
 10.7644781;59.9159808;Lakkegården barnehage;56042 
